Optimization,Result
-scev-aa -adce -break-crit-edges -constmerge -dce, secure
-always-inline -break-crit-edges -constmerge -dce, secure
-scev-aa -always-inline -break-crit-edges -constmerge -dce, secure
-adce -always-inline -break-crit-edges -constmerge -dce, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -dce, secure
-argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -dce, secure
-adce -argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -dce, secure
-always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-codegenprepare -constmerge -dce, secure
-scev-aa -codegenprepare -constmerge -dce, secure
-adce -codegenprepare -constmerge -dce, secure
-scev-aa -adce -codegenprepare -constmerge -dce, secure
-always-inline -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -codegenprepare -constmerge -dce, secure
-adce -always-inline -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -dce, secure
-argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -argpromotion -codegenprepare -constmerge -dce, secure
-adce -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -dce, secure
-always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -dce, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-deadargelim, secure
-scev-aa -deadargelim, secure
-adce -deadargelim, secure
-scev-aa -adce -deadargelim, secure
-always-inline -deadargelim, secure
-scev-aa -always-inline -deadargelim, secure
-adce -always-inline -deadargelim, secure
-scev-aa -adce -always-inline -deadargelim, secure
-argpromotion -deadargelim, secure
-scev-aa -argpromotion -deadargelim, secure
-adce -argpromotion -deadargelim, secure
-scev-aa -adce -argpromotion -deadargelim, secure
-always-inline -argpromotion -deadargelim, secure
-scev-aa -always-inline -argpromotion -deadargelim, secure
-adce -always-inline -argpromotion -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -deadargelim, secure
-break-crit-edges -deadargelim, secure
-scev-aa -break-crit-edges -deadargelim, secure
-adce -break-crit-edges -deadargelim, secure
-scev-aa -adce -break-crit-edges -deadargelim, secure
-always-inline -break-crit-edges -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -deadargelim, secure
-adce -always-inline -break-crit-edges -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -deadargelim, secure
-argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -deadargelim, secure
-adce -argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -deadargelim, secure
-codegenprepare -deadargelim, secure
-scev-aa -codegenprepare -deadargelim, secure
-adce -codegenprepare -deadargelim, secure
-scev-aa -adce -codegenprepare -deadargelim, secure
-always-inline -codegenprepare -deadargelim, secure
-scev-aa -always-inline -codegenprepare -deadargelim, secure
-adce -always-inline -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -deadargelim, secure
-argpromotion -codegenprepare -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -deadargelim, secure
-adce -argpromotion -codegenprepare -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -deadargelim, secure
-always-inline -argpromotion -codegenprepare -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -deadargelim, secure
-break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -deadargelim, secure
-adce -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -break-crit-edges -codegenprepare -deadargelim, secure
-always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-adce -always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-adce -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-constmerge -deadargelim, secure
-scev-aa -constmerge -deadargelim, secure
-adce -constmerge -deadargelim, secure
-scev-aa -adce -constmerge -deadargelim, secure
-always-inline -constmerge -deadargelim, secure
-scev-aa -always-inline -constmerge -deadargelim, secure
-adce -always-inline -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -constmerge -deadargelim, secure
-argpromotion -constmerge -deadargelim, secure
-scev-aa -argpromotion -constmerge -deadargelim, secure
-adce -argpromotion -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -constmerge -deadargelim, secure
-always-inline -argpromotion -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -constmerge -deadargelim, secure
-break-crit-edges -constmerge -deadargelim, secure
-scev-aa -break-crit-edges -constmerge -deadargelim, secure
-adce -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -break-crit-edges -constmerge -deadargelim, secure
-always-inline -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -constmerge -deadargelim, secure
-adce -always-inline -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -deadargelim, secure
-argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-adce -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-codegenprepare -constmerge -deadargelim, secure
-scev-aa -codegenprepare -constmerge -deadargelim, secure
-adce -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -codegenprepare -constmerge -deadargelim, secure
-always-inline -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -deadargelim, secure
-argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -constmerge -deadargelim, secure
-adce -argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -deadargelim, secure
-always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-dce -deadargelim, secure
-scev-aa -dce -deadargelim, secure
-adce -dce -deadargelim, secure
-scev-aa -adce -dce -deadargelim, secure
-always-inline -dce -deadargelim, secure
-scev-aa -always-inline -dce -deadargelim, secure
-adce -always-inline -dce -deadargelim, secure
-scev-aa -adce -always-inline -dce -deadargelim, secure
-argpromotion -dce -deadargelim, secure
-scev-aa -argpromotion -dce -deadargelim, secure
-adce -argpromotion -dce -deadargelim, secure
-scev-aa -adce -argpromotion -dce -deadargelim, secure
-always-inline -argpromotion -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -dce -deadargelim, secure
-adce -always-inline -argpromotion -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -dce -deadargelim, secure
-break-crit-edges -dce -deadargelim, secure
-scev-aa -break-crit-edges -dce -deadargelim, secure
-adce -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -break-crit-edges -dce -deadargelim, secure
-always-inline -break-crit-edges -dce -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -dce -deadargelim, secure
-adce -always-inline -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -dce -deadargelim, secure
-argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -dce -deadargelim, secure
-adce -argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -dce -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-codegenprepare -dce -deadargelim, secure
-scev-aa -codegenprepare -dce -deadargelim, secure
-adce -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -codegenprepare -dce -deadargelim, secure
-always-inline -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -codegenprepare -dce -deadargelim, secure
-adce -always-inline -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -dce -deadargelim, secure
-argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -dce -deadargelim, secure
-adce -argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -dce -deadargelim, secure
-always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -break-crit-edges -codegenprepare -dce -deadargelim, secure
-always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-constmerge -dce -deadargelim, secure
-scev-aa -constmerge -dce -deadargelim, secure
-adce -constmerge -dce -deadargelim, secure
-scev-aa -adce -constmerge -dce -deadargelim, secure
-always-inline -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -constmerge -dce -deadargelim, secure
-adce -always-inline -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -constmerge -dce -deadargelim, secure
-argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -argpromotion -constmerge -dce -deadargelim, secure
-adce -argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -adce -argpromotion -constmerge -dce -deadargelim, secure
-always-inline -argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -constmerge -dce -deadargelim, secure
-adce -always-inline -argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -constmerge -dce -deadargelim, secure
-break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -break-crit-edges -constmerge -dce -deadargelim, secure
-always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -codegenprepare -constmerge -dce -deadargelim, secure
-adce -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -codegenprepare -constmerge -dce -deadargelim, secure
-always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-adce -always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-adce -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-break-crit-edges -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -dce -deadargelim, secure
